,E8.5-R1,E8.5-R2,E8.5-R3,E9.0-R1,E9.0-R2,E9.0-R3,E9.5-R1,E9.5-R2,E9.5-R3,E10.0-R1
E10.0,37.87016975402832,36.06846496582031,36.87794616699219,29.058066635131837,26.142919692993164,32.63842807769775,21.24364227294922,21.088525352478026,20.5354674911499,20.52297016143799
E8.5,19.88204532623291,19.285575790405275,18.697985305786133,22.82362533569336,20.69036407470703,19.913899726867676,30.948768424987794,32.495698318481445,30.75059497833252,34.73705215454102
E8.75,23.187462196350097,21.916241874694823,22.473600273132323,19.90320182800293,18.78020393371582,19.9457470703125,25.193940544128417,26.65767734527588,25.091382942199708,28.902473068237306
E9.0,25.135262031555175,23.685948753356932,24.343693771362304,19.734616851806642,18.173350715637206,21.107464904785157,22.549216041564943,24.152196083068848,22.755230979919432,26.03856918334961
E9.25,29.347439613342285,27.844055633544922,28.643541870117186,21.9909264755249,20.432030181884766,24.439930686950685,21.956490364074707,23.082503547668455,21.867857131958008,24.816771621704103
E9.5,34.18764259338379,32.61220596313476,33.42832344055176,25.700064811706543,23.61419860839844,29.320182456970215,21.345040130615235,22.04753765106201,21.087228775024414,22.763457107543946
E9.75,33.83674278259277,32.19459499359131,32.95866069793701,25.013963737487792,22.820177841186524,28.329698867797852,20.319497184753416,20.45686351776123,19.98957748413086,21.2847229385376
