,E7.5-R1,E7.5-R2,E7.5-R3,E8.0-R1,E8.0-R2,E8.0-R3,E8.5-R1,E8.5-R2,E8.5-R3
E6.5,52.51996658325195,54.80527015686035,54.06570068359375,56.33310554504394,58.00484634399414,56.677157440185546,58.677693099975585,58.05224868774414,58.1420059967041
E6.75,25.34612377166748,25.543028793334962,25.69005573272705,25.36756015777588,27.32370807647705,26.144508781433107,30.38920307159424,30.105125427246094,29.649192886352537
E7.25,23.35097610473633,24.019708137512207,23.708142509460448,24.39274974822998,25.554001541137694,25.080338554382323,27.632184410095213,27.435951118469237,26.897042503356932
E7.5,22.84706974029541,21.35290267944336,23.175786437988283,22.661536674499512,25.511694145202636,23.702540893554687,27.440586853027344,27.534022178649902,26.928506240844726
E7.75,26.253967819213866,23.153190536499025,25.920932121276856,21.411849403381346,23.11018165588379,21.784812507629393,26.502578735351562,26.638659248352052,25.59119701385498
E8.25,31.591230850219727,28.88170753479004,30.526196098327638,22.833010215759277,20.659522933959963,21.16384162902832,23.402477264404297,23.857068405151367,23.07963291168213
E8.5a,35.600849304199215,33.68101379394531,34.66090728759766,28.75596992492676,24.59290901184082,26.682491722106935,22.82065658569336,22.29921859741211,22.33538349151611
