Otx2
Six3
Foxg1
Lhx2
Emx1
Dlx1
Dlx2
Nkx2-1
Lhx8
Arx
Lhx6
Gbx2
En1
En2
Pax2
Mafb
Gata3
Rarb
Aldh1a2
Meis1
Meis2
Pbx1
Fezf2
Irx3
Hoxb5
Hoxa5
Hoxb3
Hoxa3
Hoxb3os
Hoxc5
Hoxd8
Hoxb5os
Hoxa9
Hoxa10
Hoxaas3
Hoxc4
Hoxc9
Hoxb7
Hoxb6
Hoxd10
Hoxa7
Hoxc11
Hoxd12
Hoxb13
Hoxb9
Hoxb4
Hoxc10
Hoxc13
Hoxd13
Hoxb8
Hoxc6
Hoxa13
Hoxc8
Hoxa2
Hoxd3
Hoxd9
Hoxd11
Hoxd3os1
Hoxa11
Hoxa4
Hoxc12
