cell_type,stage,germ_layer,3,4,5,9,12,14,15,16,17,19,20,21,23,25,26,27,28,30,33,35,37,38,39,41,45,47,48,49,50,54,56,57,59,60,66,67
Amniotic ectoderm,E8.5,Ectoderm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40793466239495657,0.5484960846484453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3180487809063949,0.3179546697300402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43106511330151287,0.0,0.0,0.0,0.0,0.0
Amniotic ectoderm,E9.0,Ectoderm,0.0,0.33370486773809127,0.0,0.0,0.0,0.0,0.5809203460770697,0.0,0.0,0.4240927192045644,0.6415127091756072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44927428009599263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46084677651936024,0.0,0.0,0.0,0.0,0.0
Amniotic ectoderm,E9.5,Ectoderm,0.0,0.4128359831520757,0.0,0.0,0.0,0.0,0.6502707549589447,0.0,0.0,0.471438431422831,0.5804638442963307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4576964844304272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.397158010961155,0.0,0.0,0.0,0.0,0.0
Autonomic neuron,E9.5,Ectoderm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5517382429368057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3180777684767622,0.0,0.0,0.0,0.0,0.0,0.3559685906792314
Autonomic progenitor,E9.5,Ectoderm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5339729947596942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34356310412406255
Cranial motor neuron,E9.0,Ectoderm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.565970526750799,0.0,0.0,0.0,0.0,0.0,0.0,0.3039140828115419,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cranial motor neuron,E9.5,Ectoderm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4371882746707046,0.0,0.0,0.0,0.0,0.0,0.0,0.4497226832577787,0.0,0.0,0.3115586014762944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3883598696933546,0.0,0.0,0.0
Cranial neural crest,E8.5,Ectoderm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31620776619347857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3495079674447769,0.0,0.0,0.0,0.0,0.0,0.3316423101956526
Cranial neural crest,E9.0,Ectoderm,0.0,0.0,0.0,0.0,0.30282785808223317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3533893449133139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3711161439273785,0.0,0.0,0.0,0.0,0.0,0.4754808643726843
Cranial neural crest,E9.5,Ectoderm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4222177325341434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31980026315801546,0.0,0.0,0.0,0.0,0.0,0.3251337437321672
Diencephalon,E8.5,Ectoderm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diencephalon,E9.0,Ectoderm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5002260663927725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diencephalon,E9.5,Ectoderm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.484513967568195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorsal root ganglion neuron,E9.5,Ectoderm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35570582905007403,0.0,0.0,0.0,0.3547075248413948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorsal root ganglion progenitor,E9.5,Ectoderm,0.0,0.0,0.3652793498797649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36292402751818387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Epibranchial placode,E8.5,Ectoderm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3530180714687176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.329726434920038,0.0,0.0,0.0,0.0,0.0
Epibranchial placode,E9.0,Ectoderm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32140426315350284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
