bucket,dataset_a,dataset_b,embryo_a,embryo_b,batch,n_a,n_b,time_a,time_b,sinkhorn
early,qiu2022,devmap,E6.5,E7.5-R2,4,4444,1838,E6.5,7.5,73.18727111816406
early,qiu2022,devmap,E6.5,E7.5-R2,5,4444,1838,E6.5,7.5,75.16754150390625
early,qiu2022,devmap,E6.5,E7.5-R2,6,4444,1838,E6.5,7.5,83.84677124023438
early,qiu2022,devmap,E6.5,E7.5-R2,7,4444,1838,E6.5,7.5,94.21356964111328
early,qiu2022,devmap,E6.5,E7.5-R2,8,4444,1838,E6.5,7.5,89.39286804199219
early,qiu2022,devmap,E6.5,E7.5-R2,9,4444,1838,E6.5,7.5,71.58969116210938
early,qiu2022,devmap,E6.5,E7.5-R2,10,4444,1838,E6.5,7.5,102.61217498779297
early,qiu2022,devmap,E6.5,E7.5-R2,11,4444,1838,E6.5,7.5,87.0921630859375
early,qiu2022,devmap,E6.5,E7.5-R2,12,4444,1838,E6.5,7.5,71.80076599121094
early,qiu2022,devmap,E6.5,E7.5-R2,13,4444,1838,E6.5,7.5,75.08546447753906
early,qiu2022,devmap,E6.5,E7.5-R2,14,4444,1838,E6.5,7.5,91.39349365234375
early,qiu2022,devmap,E6.5,E7.5-R2,15,4444,1838,E6.5,7.5,81.57608032226562
early,qiu2022,devmap,E6.5,E7.5-R2,16,4444,1838,E6.5,7.5,68.73089599609375
early,qiu2022,devmap,E6.5,E7.5-R2,17,4444,1838,E6.5,7.5,68.97224426269531
early,qiu2022,devmap,E6.5,E7.5-R2,18,4444,1838,E6.5,7.5,89.21099853515625
early,qiu2022,devmap,E6.5,E7.5-R2,19,4444,1838,E6.5,7.5,99.71017456054688
early,qiu2022,devmap,E6.5,E7.5-R2,20,4444,1838,E6.5,7.5,83.4432144165039
early,qiu2022,devmap,E6.5,E7.5-R2,21,4444,1838,E6.5,7.5,87.18875122070312
early,qiu2022,devmap,E6.5,E7.5-R2,22,4444,1838,E6.5,7.5,93.98878479003906
early,qiu2022,devmap,E6.5,E7.5-R2,23,4444,1838,E6.5,7.5,78.64286804199219
early,qiu2022,devmap,E6.5,E7.5-R2,24,4444,1838,E6.5,7.5,70.53864288330078
early,qiu2022,devmap,E6.5,E7.5-R2,25,4444,1838,E6.5,7.5,91.80634307861328
early,qiu2022,devmap,E6.5,E7.5-R2,26,4444,1838,E6.5,7.5,68.85375213623047
early,qiu2022,devmap,E6.5,E7.5-R2,27,4444,1838,E6.5,7.5,91.01969909667969
early,qiu2022,devmap,E6.5,E7.5-R2,28,4444,1838,E6.5,7.5,106.19548797607422
early,qiu2022,devmap,E6.5,E7.5-R2,29,4444,1838,E6.5,7.5,86.09620666503906
early,qiu2022,devmap,E6.5,E7.5-R2,30,4444,1838,E6.5,7.5,87.40625
early,qiu2022,devmap,E6.5,E7.5-R2,31,4444,1838,E6.5,7.5,88.74726867675781
early,qiu2022,devmap,E6.5,E7.5-R2,32,4444,1838,E6.5,7.5,74.06122589111328
early,qiu2022,devmap,E6.5,E7.5-R2,33,4444,1838,E6.5,7.5,69.10224151611328
early,qiu2022,devmap,E6.5,E7.5-R2,34,4444,1838,E6.5,7.5,93.30001831054688
early,qiu2022,devmap,E6.5,E7.5-R2,35,4444,1838,E6.5,7.5,78.67103576660156
early,qiu2022,devmap,E6.5,E7.5-R2,36,4444,1838,E6.5,7.5,83.76206970214844
early,qiu2022,devmap,E6.5,E7.5-R2,37,4444,1838,E6.5,7.5,97.26611328125
early,qiu2022,devmap,E6.5,E7.5-R2,38,4444,1838,E6.5,7.5,81.26469421386719
early,qiu2022,devmap,E6.5,E7.5-R2,39,4444,1838,E6.5,7.5,70.48910522460938
early,qiu2022,devmap,E6.5,E7.5-R2,40,4444,1838,E6.5,7.5,117.7889175415039
early,qiu2022,devmap,E6.5,E7.5-R2,41,4444,1838,E6.5,7.5,75.97246551513672
early,qiu2022,devmap,E6.5,E7.5-R2,42,4444,1838,E6.5,7.5,83.2806167602539
early,qiu2022,devmap,E6.5,E7.5-R2,43,4444,1838,E6.5,7.5,77.47215270996094
early,qiu2022,devmap,E6.5,E7.5-R2,44,4444,1838,E6.5,7.5,69.77787780761719
early,qiu2022,devmap,E6.5,E7.5-R2,45,4444,1838,E6.5,7.5,86.58106994628906
early,qiu2022,devmap,E6.5,E7.5-R2,46,4444,1838,E6.5,7.5,90.92405700683594
early,qiu2022,devmap,E6.5,E7.5-R2,47,4444,1838,E6.5,7.5,70.26260375976562
early,qiu2022,devmap,E6.5,E7.5-R2,48,4444,1838,E6.5,7.5,61.270538330078125
early,qiu2022,devmap,E6.5,E7.5-R2,49,4444,1838,E6.5,7.5,72.0948715209961
early,qiu2022,devmap,E6.5,E7.5-R3,0,4444,1468,E6.5,7.5,84.32303619384766
early,qiu2022,devmap,E6.5,E7.5-R3,1,4444,1468,E6.5,7.5,106.08236694335938
early,qiu2022,devmap,E6.5,E7.5-R3,2,4444,1468,E6.5,7.5,74.38674926757812
early,qiu2022,devmap,E6.5,E7.5-R3,3,4444,1468,E6.5,7.5,80.43731689453125
early,qiu2022,devmap,E6.5,E7.5-R3,4,4444,1468,E6.5,7.5,82.69129943847656
early,qiu2022,devmap,E6.5,E7.5-R3,5,4444,1468,E6.5,7.5,77.31702423095703
early,qiu2022,devmap,E6.5,E7.5-R3,6,4444,1468,E6.5,7.5,88.32408142089844
early,qiu2022,devmap,E6.5,E7.5-R3,7,4444,1468,E6.5,7.5,75.77426147460938
early,qiu2022,devmap,E6.5,E7.5-R3,8,4444,1468,E6.5,7.5,81.77812194824219
early,qiu2022,devmap,E6.5,E7.5-R3,9,4444,1468,E6.5,7.5,71.63591003417969
early,qiu2022,devmap,E6.5,E7.5-R3,10,4444,1468,E6.5,7.5,75.04754638671875
early,qiu2022,devmap,E6.5,E7.5-R3,11,4444,1468,E6.5,7.5,106.68305206298828
early,qiu2022,devmap,E6.5,E7.5-R3,12,4444,1468,E6.5,7.5,99.27632141113281
early,qiu2022,devmap,E6.5,E7.5-R3,13,4444,1468,E6.5,7.5,97.35503387451172
early,qiu2022,devmap,E6.5,E7.5-R3,14,4444,1468,E6.5,7.5,96.0583724975586
early,qiu2022,devmap,E6.5,E7.5-R3,15,4444,1468,E6.5,7.5,94.90208435058594
early,qiu2022,devmap,E6.5,E7.5-R3,16,4444,1468,E6.5,7.5,83.5692367553711
early,qiu2022,devmap,E6.5,E7.5-R3,17,4444,1468,E6.5,7.5,80.22322082519531
early,qiu2022,devmap,E6.5,E7.5-R3,18,4444,1468,E6.5,7.5,67.34212493896484
early,qiu2022,devmap,E6.5,E7.5-R3,19,4444,1468,E6.5,7.5,83.02134704589844
early,qiu2022,devmap,E6.5,E7.5-R3,20,4444,1468,E6.5,7.5,102.69083404541016
early,qiu2022,devmap,E6.5,E7.5-R3,21,4444,1468,E6.5,7.5,68.64273071289062
early,qiu2022,devmap,E6.5,E7.5-R3,22,4444,1468,E6.5,7.5,83.64947509765625
early,qiu2022,devmap,E6.5,E7.5-R3,23,4444,1468,E6.5,7.5,85.28121948242188
early,qiu2022,devmap,E6.5,E7.5-R3,24,4444,1468,E6.5,7.5,77.54471588134766
early,qiu2022,devmap,E6.5,E7.5-R3,25,4444,1468,E6.5,7.5,88.66873931884766
early,qiu2022,devmap,E6.5,E7.5-R3,26,4444,1468,E6.5,7.5,94.33126831054688
early,qiu2022,devmap,E6.5,E7.5-R3,27,4444,1468,E6.5,7.5,84.56291198730469
early,qiu2022,devmap,E6.5,E7.5-R3,28,4444,1468,E6.5,7.5,111.89924621582031
early,qiu2022,devmap,E6.5,E7.5-R3,29,4444,1468,E6.5,7.5,86.43681335449219
early,qiu2022,devmap,E6.5,E7.5-R3,30,4444,1468,E6.5,7.5,87.79638671875
early,qiu2022,devmap,E6.5,E7.5-R3,31,4444,1468,E6.5,7.5,94.06007385253906
early,qiu2022,devmap,E6.5,E7.5-R3,32,4444,1468,E6.5,7.5,74.17547607421875
early,qiu2022,devmap,E6.5,E7.5-R3,33,4444,1468,E6.5,7.5,84.67451477050781
early,qiu2022,devmap,E6.5,E7.5-R3,34,4444,1468,E6.5,7.5,117.05877685546875
early,qiu2022,devmap,E6.5,E7.5-R3,35,4444,1468,E6.5,7.5,83.16340637207031
early,qiu2022,devmap,E6.5,E7.5-R3,36,4444,1468,E6.5,7.5,87.46581268310547
