,E8.5-R1,E8.5-R2,E8.5-R3,E9.0-R1,E9.0-R2,E9.0-R3,E9.5-R1,E9.5-R2,E9.5-R3,E10.0-R1
E10.0,37.74323295593262,36.09314247131348,36.896363754272464,29.084120025634764,26.07526371002197,32.46599094390869,21.246489868164062,21.14392105102539,20.516366920471192,20.450948333740236
E8.5,19.86355567932129,19.19131103515625,18.743813781738282,22.751414756774903,20.568028411865235,19.88910373687744,30.84776664733887,32.448644676208495,30.815624084472656,34.66218421936035
E8.75,23.102737503051756,21.88159786224365,22.51507251739502,19.943385429382325,18.866619567871094,20.022841491699218,25.192008209228515,26.640918312072753,25.071995086669922,28.704093780517578
E9.0,25.085871047973633,23.65629440307617,24.38140899658203,19.579789505004882,18.198668327331543,21.17361961364746,22.57322147369385,24.130209159851074,22.730548706054687,26.104398040771486
E9.25,29.51135814666748,27.91346965789795,28.72499900817871,22.1001362991333,20.52258934020996,24.686485748291016,22.082094955444337,23.04153938293457,21.850845108032228,24.712161445617674
E9.5,34.319149551391604,32.66004737854004,33.363777008056644,25.676757850646972,23.604653434753416,29.15753448486328,21.401034812927247,22.11400188446045,21.16994873046875,22.649235725402832
E9.75,33.67136322021484,32.14591125488281,33.05940731048584,25.011424980163575,22.78166103363037,28.201198539733888,20.309469718933105,20.565756797790527,19.97055877685547,21.27667694091797
