,E8.5-R1,E8.5-R2,E8.5-R3,E9.0-R1,E9.0-R2,E9.0-R3,E9.5-R1,E9.5-R2,E9.5-R3,E10.0-R1
E10.0,37.84341537475586,36.17167381286621,36.97494186401367,29.0610982131958,26.080532684326172,32.61334201812744,21.18196506500244,21.112644386291503,20.588484954833984,20.437897720336913
E8.5,19.70650115966797,19.295986137390138,18.604034729003907,22.792158126831055,20.572684936523437,20.00086494445801,30.92227851867676,32.41228958129883,30.8040970993042,34.681268310546876
E8.75,23.098432579040526,21.80309310913086,22.552024536132812,19.94522315979004,18.80894515991211,19.935645980834963,25.17500888824463,26.62530689239502,25.160794143676757,28.812271194458006
E9.0,25.21809757232666,23.71940975189209,24.290897636413575,19.685914306640626,18.19555061340332,21.19563678741455,22.63481174468994,24.05143367767334,22.71877071380615,26.072378578186036
E9.25,29.337055053710937,27.96791778564453,28.689861488342284,21.935207290649416,20.50465576171875,24.664012756347656,21.9699857711792,23.225084991455077,21.83674819946289,24.746539306640624
E9.5,34.33871345520019,32.68215957641601,33.27439834594727,25.667347564697266,23.584146614074708,29.199876441955567,21.553636741638183,22.057824325561523,21.104371109008788,22.632196998596193
E9.75,33.71310760498047,32.129983024597166,33.09955047607422,25.036005554199217,22.86888454437256,28.252517890930175,20.36305835723877,20.558941497802735,19.88271270751953,21.29522129058838
