,E7.5-R1,E7.5-R2,E7.5-R3,E8.0-R1,E8.0-R2,E8.0-R3,E8.5-R1,E8.5-R2,E8.5-R3
E6.5,80.88773147583008,82.36117141723633,86.23938049316406,88.26611099243163,91.7365512084961,89.8709455871582,102.05484558105469,102.86443145751953,99.61353485107422
E6.75,50.745468063354494,47.05953727722168,51.66386245727539,48.21248512268066,51.749952697753905,50.09538269042969,68.33374084472656,68.43984329223633,65.43746223449708
E7,47.095677795410154,44.86957122802735,47.45456649780274,46.563954544067386,49.56942268371582,47.79624710083008,63.708402709960936,63.54424087524414,61.15237258911133
E7.25,45.60269668579102,43.02088417053223,46.35994010925293,46.71888908386231,49.385652770996096,48.56829643249512,63.26467994689941,63.19288215637207,61.43995750427246
E7.5,44.07136619567871,36.46951560974121,45.21439483642578,41.31526435852051,47.38225486755371,44.03081588745117,61.9933699798584,62.588009719848635,60.12224662780762
E7.75,52.84982841491699,40.83825706481934,52.105724563598635,38.41335708618164,40.505150146484375,39.08347557067871,57.13308334350586,57.77307144165039,54.3965625
E8,56.94559051513672,45.018390045166015,53.4934920501709,36.57682472229004,37.60336418151856,36.48377883911133,52.95189071655273,54.04429336547852,51.5315022277832
E8.25,70.32881423950195,59.519913864135745,65.32539665222168,41.44239372253418,31.25218635559082,35.661431884765626,43.171107864379884,43.85130561828613,41.0684725189209
E8.5a,87.88237976074218,77.46927993774415,83.8056559753418,61.296544876098636,42.25968002319336,52.26607299804687,42.205018539428714,41.24403121948242,40.074016418457035
