capture
slow_rep1_t1
slow_rep2_t1
medium_rep1_t1
medium_rep1_t2
medium_rep2_t1
medium_rep2_t2
fast_rep1_t1
fast_rep2_t1
e75_rep4_t1
e75_rep5_t1
e75_rep8_t1
e80_rep1_t1
e80_rep2_t1
e80_rep3_t1
e85_rep2_t1
e85_rep2_t2
e85_rep3_t1
e85_rep3_t2
e85_rep3_t3
e85_rep9_t1
e85_rep9_t2
e90_rep1_t1
e90_rep1_t2
e90_rep1_t3
e90_rep1_t4
e90_rep1_t5
e90_rep1_t6
e90_rep1_t7
e90_rep1_t8
e90_rep2_t1
e90_rep2_t2
e90_rep2_t3
e90_rep2_t4
e90_rep2_t5
e90_rep2_t6
e90_rep2_t7
e90_rep2_t8
e90_rep3_t1
e90_rep3_t2
e90_rep3_t3
e90_rep3_t4
e90_rep3_t5
e90_rep3_t6
e95_rep1_t1
e95_rep1_t2
e95_rep1_t3
e95_rep1_t4
e95_rep1_t5
e95_rep1_t6
e95_rep1_t7
e95_rep1_t8
e95_rep1_t9
e95_rep1_t10
e95_rep1_t11
e95_rep1_t12
e95_rep1_t13
e95_rep1_t14
e95_rep1_t15
e95_rep1_t16
e95_rep2_t1
e95_rep2_t2
e95_rep2_t3
e95_rep2_t4
e95_rep2_t5
e95_rep2_t6
e95_rep2_t7
e95_rep2_t8
e95_rep2_t9
e95_rep2_t10
e95_rep2_t11
e95_rep2_t12
e95_rep2_t13
e95_rep2_t14
e95_rep2_t15
e95_rep2_t16
e95_rep3_t1
e95_rep3_t2
e95_rep3_t3
e95_rep3_t4
e95_rep3_t5
e95_rep3_t6
e95_rep3_t7
e95_rep3_t8
e95_rep3_t9
e95_rep3_t10
e95_rep3_t11
e95_rep3_t12
e95_rep3_t13
e95_rep3_t14
e95_rep3_t15
e95_rep3_t16
e10_rep1_t1
e10_rep1_t2
e10_rep1_t3
e10_rep1_t4
e10_rep1_t5
e10_rep1_t6
e10_rep1_t7
e10_rep1_t8
e10_rep1_t9
e10_rep1_t10
e10_rep1_t11
e10_rep1_t12
e10_rep1_t13
e10_rep1_t14
e10_rep1_t15
e10_rep1_t16
e10_rep1_t17
e10_rep1_t18
e10_rep1_t19
e10_rep1_t20
e10_rep1_t21
e10_rep1_t22
e10_rep1_t23
e10_rep1_t24
